ID;a;ag;i
1;https://docs.google.com/presentation/d/1s4EJloU11oJ7rHw_eN5NxfCXA_T4iKI16JLaOiokee0/edit?usp=sharing;https://docs.google.com/presentation/d/1cY2Nq9Dknfg5po7C-kfsFeFGKp42zBkvn72dP0sYkZM/edit?usp=sharing;https://docs.google.com/presentation/d/1kq88rjkVDDksNa-Jyj0ssGTAFdJg6h4LrYRMRLWkB4Q/edit?usp=sharing
2;https://docs.google.com/presentation/d/1JYkMF6RjRu0hMcJ38gAzDJXwxgfuoxKRfANsSjEAegA/edit?usp=sharing;https://docs.google.com/presentation/d/1JYkMF6RjRu0hMcJ38gAzDJXwxgfuoxKRfANsSjEAegA/edit?usp=sharing;https://docs.google.com/presentation/d/1JYkMF6RjRu0hMcJ38gAzDJXwxgfuoxKRfANsSjEAegA/edit?usp=sharing
3;https://docs.google.com/presentation/d/1us8v9pX-V3qldtOfGLvIj7bnvLjHLf7q1Yms83WFHNE/edit?usp=sharing;https://docs.google.com/presentation/d/1us8v9pX-V3qldtOfGLvIj7bnvLjHLf7q1Yms83WFHNE/edit?usp=sharing;https://docs.google.com/presentation/d/1us8v9pX-V3qldtOfGLvIj7bnvLjHLf7q1Yms83WFHNE/edit?usp=sharing
4;[inexistente];[inexistente];[inexistente]
5;[inexistente];[inexistente];[inexistente]
6;[inexistente];[inexistente];[inexistente]
7;[inexistente];[inexistente];[inexistente]
8;[inexistente];[inexistente];[inexistente]
9;[inexistente];[inexistente];[inexistente]
10;[inexistente];[inexistente];[inexistente]
